longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-122.23,37.88,41,880,129,322,126,8.3252,NEAR BAY
-122.22,37.86,21,7099,1106,2401,1138,8.3014,NEAR BAY
-122.24,37.85,52,1467,190,496,177,7.2574,NEAR BAY
-122.25,37.85,52,1274,235,558,219,5.6431,NEAR BAY
-122.25,37.85,52,1627,280,565,259,3.8462,NEAR BAY
-122.25,37.85,52,919,213,413,193,4.0368,NEAR BAY
-122.25,37.84,52,2535,489,1094,514,3.6591,NEAR BAY
-122.25,37.84,52,3104,687,1157,647,3.12,NEAR BAY
-122.26,37.84,42,2555,665,1206,595,2.0804,NEAR BAY
-122.25,37.84,52,3549,707,1551,714,3.6912,NEAR BAY
-118.3,34.26,15,3873,797,3683,811,6.6085,<1H OCEAN
-118.33,34.03,44,2622,484,1494,497,5.8933,<1H OCEAN
-118.44,34.16,44,696,191,411,165,3.25,<1H OCEAN
-117.13,32.75,31,1960,376,1136,380,4.5909,NEAR OCEAN
-117.27,33.08,35,2705,528,1504,528,4.6875,<1H OCEAN
